,Credit Limit,Sex,Education,Marital Status,Age,Payment_Score,Avg_Outstanding,Avg_Paid,Default
1,20000,F,BSc,Married,24,0.6666666666666666,1284.0,114.83333333333333,True
2,120000,F,BSc,Single,26,1.5,2846.1666666666665,833.3333333333334,True
3,90000,F,BSc,Single,34,1.0,16942.166666666668,1836.3333333333333,False
4,50000,F,BSc,Married,37,1.0,38555.666666666664,1398.0,False
5,50000,M,BSc,Married,57,0.6666666666666666,18223.166666666668,9841.5,False
6,50000,M,MSc or PHd,Single,37,1.0,39685.666666666664,1295.3333333333333,False
7,500000,M,MSc or PHd,Single,29,1.0,454099.1666666667,30126.5,False
8,100000,F,BSc,Single,23,0.5,2247.6666666666665,798.5,False
9,140000,F,High School Diploma,Married,28,1.3333333333333333,10868.666666666666,1126.8333333333333,False
10,20000,M,High School Diploma,Single,35,-0.6666666666666666,4486.5,2354.8333333333335,False
11,200000,F,High School Diploma,Single,34,1.1666666666666667,5744.5,1078.6666666666667,False
12,260000,F,MSc or PHd,Single,51,0.5,14728.166666666666,11051.333333333334,False
13,630000,F,BSc,Single,41,0.16666666666666666,6834.5,3895.0,False
14,70000,M,BSc,Single,30,2.1666666666666665,56447.5,1783.3333333333333,True
15,250000,M,MSc or PHd,Single,29,1.0,62265.166666666664,3000.0,False
16,50000,F,High School Diploma,Other,23,1.5,32736.0,1033.3333333333333,False
17,20000,M,MSc or PHd,Single,24,2.3333333333333335,17693.5,1058.3333333333333,True
18,320000,M,MSc or PHd,Married,49,0.5,161002.33333333334,60316.166666666664,False
19,360000,F,MSc or PHd,Married,49,-0.5,0.0,0.0,False
20,180000,F,MSc or PHd,Single,29,-0.5,0.0,0.0,False
21,130000,F,High School Diploma,Single,39,0.8333333333333334,20647.166666666668,7038.5,False
22,120000,F,BSc,Married,39,0.0,316.0,263.3333333333333,True
23,70000,F,BSc,Single,26,2.3333333333333335,44245.833333333336,1835.0,True
24,450000,F,MSc or PHd,Married,40,-1.0,4494.166666666667,3764.8333333333335,True
25,90000,M,MSc or PHd,Single,23,0.8333333333333334,5310.666666666667,2733.3333333333335,False
26,50000,M,High School Diploma,Single,23,1.0,35715.833333333336,1315.1666666666667,False
27,60000,M,MSc or PHd,Single,27,0.16666666666666666,-65.66666666666667,416.6666666666667,True
28,50000,F,High School Diploma,Single,30,1.0,18711.333333333332,1185.3333333333333,False
29,50000,F,High School Diploma,Married,47,0.0,6701.333333333333,6594.5,False
30,50000,M,MSc or PHd,Single,26,1.0,16180.333333333334,1100.0,False
31,230000,F,MSc or PHd,Single,27,0.0,18957.666666666668,16248.166666666666,False
32,50000,M,BSc,Single,33,1.3333333333333333,25311.5,1155.6666666666667,True
33,100000,M,MSc or PHd,Single,32,1.0,82539.5,3124.0,False
34,500000,F,BSc,Married,54,-1.0,20957.333333333332,26417.0,False
35,500000,M,MSc or PHd,Married,58,-1.0,9719.666666666666,7570.833333333333,False
36,160000,M,MSc or PHd,Single,30,-0.5,4218.666666666667,380.0,False
37,280000,M,BSc,Married,40,1.0,178329.5,6987.166666666667,False
38,60000,F,BSc,Single,22,0.8333333333333334,5379.833333333333,8891.5,False
39,50000,M,MSc or PHd,Single,25,-0.16666666666666666,130.0,130.0,True
40,280000,M,MSc or PHd,Single,31,0.6666666666666666,8607.166666666666,6226.166666666667,False
41,360000,M,MSc or PHd,Single,33,1.0,275125.1666666667,40640.0,False
42,70000,F,MSc or PHd,Single,25,1.0,65476.0,3223.6666666666665,False
43,10000,M,BSc,Single,22,1.0,3793.5,1204.5,False
44,140000,F,BSc,Married,37,1.0,64189.0,3333.3333333333335,False
45,40000,F,MSc or PHd,Single,30,1.3333333333333333,24530.833333333332,2166.6666666666665,False
46,210000,M,MSc or PHd,Single,29,-1.0,0.0,0.0,True
47,20000,F,MSc or PHd,Single,22,1.1666666666666667,13221.333333333334,3345.8333333333335,True
49,380000,M,BSc,Single,32,0.0,19135.833333333332,15555.333333333334,False
50,20000,M,MSc or PHd,Single,24,1.0,19301.666666666668,1041.0,False
51,70000,M,High School Diploma,Single,42,2.5,38168.666666666664,1350.0,True
52,100000,F,High School Diploma,Other,43,1.0,44197.5,1601.0,False
53,310000,F,BSc,Married,49,-1.0,7354.166666666667,5111.333333333333,False
54,180000,F,MSc or PHd,Single,25,1.5,43191.833333333336,1707.6666666666667,False
55,150000,F,MSc or PHd,Single,29,1.3333333333333333,29458.5,2144.5,False
56,500000,F,MSc or PHd,Married,45,-1.0,1398.0,1080.5,False
57,180000,F,High School Diploma,Married,34,0.5,9234.0,4863.166666666667,False
58,180000,F,BSc,Married,34,1.0,158727.0,5677.0,False
59,200000,F,MSc or PHd,Single,34,2.6666666666666665,1124.5,316.6666666666667,False
60,400000,F,BSc,Married,29,1.0,380690.0,18171.5,False
61,500000,F,High School Diploma,Married,28,1.0,18283.166666666668,1469.3333333333333,True
62,70000,M,BSc,Married,39,0.8333333333333334,40707.0,2020.0,False
63,50000,M,MSc or PHd,Single,29,3.0,26279.0,1020.8333333333334,True
64,50000,F,BSc,Married,46,0.0,9647.333333333334,166.66666666666666,True
65,130000,F,BSc,Married,51,-0.3333333333333333,408.6666666666667,392.1666666666667,False
66,200000,M,MSc or PHd,Married,57,0.5,78272.66666666667,1587.0,True
67,10000,M,BSc,Married,56,2.0,3808.6666666666665,501.6666666666667,True
68,210000,F,MSc or PHd,Single,30,0.5,1431.5,1533.0,False
69,130000,F,High School Diploma,Single,29,0.5,1316.8333333333333,6896.5,False
71,80000,M,MSc or PHd,Single,31,0.0,390.0,325.0,False
72,320000,M,BSc,Single,29,3.0,60358.666666666664,2300.0,True
73,200000,F,BSc,Married,32,0.5,4404.166666666667,3252.0,False
74,290000,F,MSc or PHd,Single,37,0.16666666666666666,919.0,919.0,False
75,340000,M,MSc or PHd,Single,32,0.0,23699.833333333332,23666.166666666668,False
76,20000,M,BSc,Single,24,1.3333333333333333,16888.0,931.6666666666666,False
77,50000,M,High School Diploma,Single,25,0.8333333333333334,24234.333333333332,1059.6666666666667,False
78,300000,F,MSc or PHd,Married,45,0.0,291.0,291.0,False
79,30000,F,BSc,Single,22,1.0,24864.333333333332,1401.8333333333333,True
80,240000,F,BSc,Single,44,-0.5,0.0,0.0,True
81,470000,F,High School Diploma,Other,33,1.0,102470.5,3654.3333333333335,False
82,360000,F,MSc or PHd,Single,26,0.8333333333333334,49150.5,26892.5,False
83,60000,M,High School Diploma,Single,30,1.0,23927.666666666668,890.8333333333334,True
84,400000,F,BSc,Married,44,1.3333333333333333,116825.33333333333,3792.1666666666665,False
85,50000,F,High School Diploma,Single,49,1.0,29583.166666666668,1008.6666666666666,False
86,160000,M,BSc,Single,33,1.0,111168.83333333333,16957.833333333332,False
