,Sex,Education,Marital Status,Age,Credit Limit,Payment Score,Avg Outstanding,Avg Paid,PaySep,PayAug,PayJul,PayJun,PayMay,PayApr,Outstanding/Sept05,Outstanding/Aug05,Outstanding/Jul05,Outstanding/Jun05,Outstanding/May05,Outstanding/Apr05,Paid/Sept05,Paid/Aug05,Paid/Jul05,Paid/Jun05,Paid/May05,Paid/Apr05
0,F,BSc,Married,24,20000,0.6666666666666666,1284.0,114.83333333333333,3,3,0,0,-1,-1,3913,3102,689,0,0,0,0,689,0,0,0,0
1,F,BSc,Single,26,120000,1.5,2846.1666666666665,833.3333333333334,0,3,1,1,1,3,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000
2,M,BSc,Single,30,70000,2.1666666666666665,56447.5,1783.3333333333333,2,3,3,1,1,3,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0
3,M,MSc or PHd,Single,24,20000,2.3333333333333335,17693.5,1058.3333333333333,1,1,3,3,3,3,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0
4,F,BSc,Married,39,120000,0.0,316.0,263.3333333333333,0,0,0,0,0,0,316,316,316,0,632,316,316,316,0,632,316,0
5,F,BSc,Single,26,70000,2.3333333333333335,44245.833333333336,1835.0,3,1,1,3,3,3,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820
6,F,MSc or PHd,Married,40,450000,-1.0,4494.166666666667,3764.8333333333335,-1,-1,-1,-1,-1,-1,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128
7,M,MSc or PHd,Single,27,60000,0.16666666666666666,-65.66666666666667,416.6666666666667,2,-1,0,0,0,0,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000
8,M,BSc,Single,33,50000,1.3333333333333333,25311.5,1155.6666666666667,3,1,1,1,1,1,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716
9,M,MSc or PHd,Single,25,50000,-0.16666666666666666,130.0,130.0,2,0,0,-1,-1,-1,0,780,0,0,0,0,780,0,0,0,0,0
10,M,MSc or PHd,Single,29,210000,-1.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
11,F,MSc or PHd,Single,22,20000,1.1666666666666667,13221.333333333334,3345.8333333333335,1,1,3,0,1,1,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0
12,M,High School Diploma,Single,42,70000,2.5,38168.666666666664,1350.0,2,3,3,3,3,1,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500
13,F,High School Diploma,Married,28,500000,1.0,18283.166666666668,1469.3333333333333,1,1,1,1,1,1,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000
